Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather,day,minute,day_sin,day_cos,time_sin,time_cos,normalized_value
2012-08-19 21:00:00,16.7,12.2,75,4,25.0,100.81,Mainly Clear,232,1260,-0.7526668275320083,-0.6584015846980489,-0.7071067811865477,0.7071067811865474,0.2505568606181327
2012-08-19 22:00:00,17.6,11.6,68,0,25.0,100.79,Clear,232,1320,-0.7526668275320083,-0.6584015846980489,-0.5000000000000004,0.8660254037844384,0.3152619963847978
2012-08-19 23:00:00,16.8,11.6,71,0,25.0,100.78,Mainly Clear,232,1380,-0.7526668275320083,-0.6584015846980489,-0.2588190451025207,0.9659258262890684,0.3755575840792577
2012-08-20 00:00:00,15.4,11.9,80,0,25.0,100.79,Mainly Clear,233,0,-0.7638886127905429,-0.64534811322955,0.0,1.0,0.4276583803523727
2012-08-20 01:00:00,16.5,13.6,83,0,25.0,100.75,Mainly Clear,233,60,-0.7638886127905429,-0.64534811322955,0.2588190451025207,0.9659258262890684,0.4673882659447363
2012-08-20 02:00:00,15.3,13.5,89,0,25.0,100.75,Clear,233,120,-0.7638886127905429,-0.64534811322955,0.4999999999999999,0.8660254037844387,0.4923635161190379
2012-08-20 03:00:00,15.6,13.3,86,0,25.0,100.75,Mainly Clear,233,180,-0.7638886127905429,-0.64534811322955,0.7071067811865476,0.7071067811865476,0.5008821088494508
2012-08-20 04:00:00,15.3,13.2,87,0,25.0,100.72,Mainly Clear,233,240,-0.7638886127905429,-0.64534811322955,0.8660254037844386,0.5000000000000001,0.4923635161190379
2012-08-20 05:00:00,14.5,13.4,93,0,25.0,100.72,Mainly Clear,233,300,-0.7638886127905429,-0.64534811322955,0.9659258262890684,0.2588190451025207,0.4673882659447363
2012-08-20 06:00:00,16.0,12.8,81,6,48.3,100.76,Mainly Clear,233,360,-0.7638886127905429,-0.64534811322955,1.0,6.123233995736766e-17,0.4276583803523727
2012-08-20 07:00:00,17.8,13.6,76,7,48.3,100.77,Mainly Clear,233,420,-0.7638886127905429,-0.64534811322955,0.9659258262890684,-0.2588190451025208,0.375881385388326
2012-08-20 08:00:00,19.0,14.4,75,11,48.3,100.76,Mainly Clear,233,480,-0.7638886127905429,-0.64534811322955,0.8660254037844387,-0.4999999999999998,0.3155857976938663
2012-08-20 09:00:00,20.2,13.9,67,11,48.3,100.78,Clear,233,540,-0.7638886127905429,-0.64534811322955,0.7071067811865476,-0.7071067811865475,0.2508806619272011
2012-08-20 10:00:00,21.6,14.2,63,17,48.3,100.77,Mostly Cloudy,233,600,-0.7638886127905429,-0.64534811322955,0.4999999999999999,-0.8660254037844387,0.1861755261605358
2012-08-20 11:00:00,23.1,15.7,63,13,48.3,100.74,Mainly Clear,233,660,-0.7638886127905429,-0.64534811322955,0.258819045102521,-0.9659258262890682,0.1258799384660763
2012-08-20 12:00:00,24.8,13.5,49,17,24.1,100.69,Mainly Clear,233,720,-0.7638886127905429,-0.64534811322955,1.2246467991473532e-16,-1.0,0.0741029435020295
2012-08-20 13:00:00,24.6,13.2,49,17,24.1,100.64,Mainly Clear,233,780,-0.7638886127905429,-0.64534811322955,-0.2588190451025203,-0.9659258262890684,0.0343730579096659
2012-08-20 14:00:00,25.2,11.7,43,11,24.1,100.62,Mainly Clear,233,840,-0.7638886127905429,-0.64534811322955,-0.5000000000000001,-0.8660254037844386,0.0093978077353644
2012-08-20 15:00:00,24.6,10.5,41,15,24.1,100.6,Mainly Clear,233,900,-0.7638886127905429,-0.64534811322955,-0.7071067811865475,-0.7071067811865477,0.0008792150049513
2012-08-20 16:00:00,24.4,10.4,41,13,24.1,100.56,Clear,233,960,-0.7638886127905429,-0.64534811322955,-0.8660254037844385,-0.5000000000000004,0.0093978077353643
2012-08-20 17:00:00,23.8,10.6,43,13,24.1,100.57,Mainly Clear,233,1020,-0.7638886127905429,-0.64534811322955,-0.9659258262890684,-0.2588190451025206,0.0343730579096658
2012-08-20 18:00:00,22.5,10.0,45,17,24.1,100.64,Mainly Clear,233,1080,-0.7638886127905429,-0.64534811322955,-1.0,-1.8369701987210294e-16,0.0741029435020295
2012-08-20 19:00:00,20.1,9.0,49,9,24.1,100.69,Mainly Clear,233,1140,-0.7638886127905429,-0.64534811322955,-0.9659258262890682,0.2588190451025211,0.1258799384660763
2012-08-20 20:00:00,18.4,9.4,56,9,25.0,100.75,Clear,233,1200,-0.7638886127905429,-0.64534811322955,-0.8660254037844386,0.5000000000000001,0.1861755261605359
2012-08-20 21:00:00,18.2,9.9,58,7,25.0,100.77,Mainly Clear,233,1260,-0.7638886127905429,-0.64534811322955,-0.7071067811865477,0.7071067811865474,0.250880661927201
2012-08-20 22:00:00,18.5,10.0,58,7,25.0,100.78,Mainly Clear,233,1320,-0.7638886127905429,-0.64534811322955,-0.5000000000000004,0.8660254037844384,0.3155857976938662
2012-08-20 23:00:00,16.6,10.8,69,6,25.0,100.8,Mainly Clear,233,1380,-0.7638886127905429,-0.64534811322955,-0.2588190451025207,0.9659258262890684,0.375881385388326
2012-08-21 00:00:00,16.5,10.4,67,4,25.0,100.82,Mainly Clear,234,0,-0.7748840413670406,-0.6321034111873488,0.0,1.0,0.4280560017837539
2012-08-21 01:00:00,15.0,10.8,76,4,25.0,100.85,Mainly Clear,234,60,-0.7748840413670406,-0.6321034111873488,0.2588190451025207,0.9659258262890684,0.4677858873761177
2012-08-21 02:00:00,15.9,11.0,73,0,25.0,100.9,Mostly Cloudy,234,120,-0.7748840413670406,-0.6321034111873488,0.4999999999999999,0.8660254037844387,0.4927611375504192
2012-08-21 03:00:00,15.9,11.3,74,0,25.0,100.92,Mostly Cloudy,234,180,-0.7748840413670406,-0.6321034111873488,0.7071067811865476,0.7071067811865476,0.5012797302808322
2012-08-21 04:00:00,16.1,11.0,72,6,25.0,100.93,Mainly Clear,234,240,-0.7748840413670406,-0.6321034111873488,0.8660254037844386,0.5000000000000001,0.4927611375504192
2012-08-21 05:00:00,15.0,10.3,73,0,24.1,100.99,Mainly Clear,234,300,-0.7748840413670406,-0.6321034111873488,0.9659258262890684,0.2588190451025207,0.4677858873761177
2012-08-21 06:00:00,14.6,10.9,78,7,48.3,101.02,Mainly Clear,234,360,-0.7748840413670406,-0.6321034111873488,1.0,6.123233995736766e-17,0.4280560017837539
2012-08-21 07:00:00,17.2,12.6,74,6,48.3,101.08,Mainly Clear,234,420,-0.7748840413670406,-0.6321034111873488,0.9659258262890684,-0.2588190451025208,0.3762790068197073
2012-08-21 08:00:00,19.3,11.8,62,7,48.3,101.12,Mostly Cloudy,234,480,-0.7748840413670406,-0.6321034111873488,0.8660254037844387,-0.4999999999999998,0.3159834191252477
2012-08-21 09:00:00,20.4,9.1,48,13,48.3,101.15,Mostly Cloudy,234,540,-0.7748840413670406,-0.6321034111873488,0.7071067811865476,-0.7071067811865475,0.2512782833585824
2012-08-21 10:00:00,21.8,10.9,50,13,48.3,101.18,Mainly Clear,234,600,-0.7748840413670406,-0.6321034111873488,0.4999999999999999,-0.8660254037844387,0.1865731475919172
2012-08-21 11:00:00,21.1,9.6,48,11,48.3,101.17,Mainly Clear,234,660,-0.7748840413670406,-0.6321034111873488,0.258819045102521,-0.9659258262890682,0.1262775598974576
2012-08-21 12:00:00,23.7,10.4,43,17,48.3,101.19,Mainly Clear,234,720,-0.7748840413670406,-0.6321034111873488,1.2246467991473532e-16,-1.0,0.0745005649334109
2012-08-21 13:00:00,23.2,10.3,44,22,48.3,101.19,Mostly Cloudy,234,780,-0.7748840413670406,-0.6321034111873488,-0.2588190451025203,-0.9659258262890684,0.0347706793410472
2012-08-21 14:00:00,22.6,10.9,48,15,48.3,101.18,Mostly Cloudy,234,840,-0.7748840413670406,-0.6321034111873488,-0.5000000000000001,-0.8660254037844386,0.0097954291667457
2012-08-21 15:00:00,23.4,11.4,47,19,48.3,101.15,Mostly Cloudy,234,900,-0.7748840413670406,-0.6321034111873488,-0.7071067811865475,-0.7071067811865477,0.0012768364363326
2012-08-21 16:00:00,23.1,11.9,49,17,48.3,101.14,Mostly Cloudy,234,960,-0.7748840413670406,-0.6321034111873488,-0.8660254037844385,-0.5000000000000004,0.0097954291667456
2012-08-21 17:00:00,22.6,10.9,48,19,48.3,101.17,Mostly Cloudy,234,1020,-0.7748840413670406,-0.6321034111873488,-0.9659258262890684,-0.2588190451025206,0.0347706793410472
2012-08-21 18:00:00,22.4,10.8,48,13,48.3,101.18,Mostly Cloudy,234,1080,-0.7748840413670406,-0.6321034111873488,-1.0,-1.8369701987210294e-16,0.0745005649334109
